id;nom;description;id_task;id_process
1;Optimization Cambridgeshire;payment Soap;Web;Outdoors New York Data
2;Jamaican Dollar North Carolina;Station;parsing Investment Account;Branding Dynamic black
3;yellow;Books Generic;robust withdrawal generate;Garden open-source hybrid
4;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;quantify multi-byte
5;interface Cotton Robust;user-centric Infrastructure;Managed Dobra application;Fantastic
6;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;time-frame Quality
7;Borders Borders Practical;methodical;Pakistan;parse
8;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;program Auto Loan Account Refined
9;infomediaries;Fantastic Fresh Salad;Steel Avon Visionary;exploit transition
10;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;Cotton
