id;nom;description;id_task;id_process
1;Music;Pants;Avon;blue scalable Car
2;bypassing Sleek Steel Shirt Rand Namibia Dollar;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska
3;Gardens synthesizing;silver;system;Buckinghamshire
4;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana;Applications;Montenegro
5;frictionless;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused
6;Shoes Rubber Mall;users scalable;transmitting parse infrastructures;matrix Implementation Shirt
7;Mobility;Arizona synthesizing Fresh;override back-end hacking;open-source
8;payment National;HDD;Tanzanian Shilling Lights;e-enable Plaza intranet
9;convergence Idaho customized;synthesize Bahrain;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
10;Belize Dollar Bacon;Investment Account Rwanda Customer;Liaison copy program;hack Electronics Oklahoma
