id;nom;description;id_task;id_process
1;Advanced grow;Handmade Wooden Cheese Fresh;input Naira;Markets
2;Glen Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu
3;Senior Optional Yemeni Rial;Central African Republic;magenta heuristic;Credit Card Account Maryland Legacy
4;Product;Brand Regional Court;B2B Mouse;Junctions one-to-one
5;analyzing holistic;Architect;Beauty dynamic schemas;Pound Sterling Keyboard
6;Licensed Usability models;Personal Loan Account markets;SCSI Aruba Chair;drive online
7;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;SMS
8;Zimbabwe parse Customer;input Accounts;enhance Multi-channelled purple;Response
9;white SMTP;Checking Account global Steel;Borders Springs connecting;SAS
10;Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
